feature_name,feature_value,feature_value_all,feature_value_name,norm_score,score,type,vis
data_type,decimal,N/A,decimal,1.0,11.73238,categorical,line
data_type,decimal,N/A,decimal,0.850704,11.713326,categorical,scatter
data_type,decimal,N/A,decimal,0.0,11.604757,categorical,bar
data_type,decimal,N/A,decimal,0.703162,11.694497,categorical,box
data_type,decimal,N/A,decimal,0.261382,11.638115,categorical,histogram
data_type,decimal,N/A,decimal,0.097082,11.617147,categorical,heatmap
general_type,q,N/A,q,1.0,11.761975,categorical,line
general_type,q,N/A,q,0.879736,11.750215,categorical,scatter
general_type,q,N/A,q,0.049774,11.669057,categorical,bar
general_type,q,N/A,q,0.575151,11.720431,categorical,box
general_type,q,N/A,q,0.055944,11.66966,categorical,histogram
general_type,q,N/A,q,0.0,11.66419,categorical,heatmap
has_none,has_none_False,N/A,has_none_False,0.689348,11.786432,categorical,line
has_none,has_none_False,N/A,has_none_False,1.0,11.829418,categorical,scatter
has_none,has_none_False,N/A,has_none_False,0.911248,11.817137,categorical,bar
has_none,has_none_False,N/A,has_none_False,0.599707,11.774029,categorical,box
has_none,has_none_False,N/A,has_none_False,0.0,11.691047,categorical,histogram
has_none,has_none_False,N/A,has_none_False,0.604345,11.774671,categorical,heatmap
is_unique,is_unique_False,N/A,is_unique_False,0.924821,11.779224,categorical,line
is_unique,is_unique_False,N/A,is_unique_False,0.830166,11.769565,categorical,scatter
is_unique,is_unique_False,N/A,is_unique_False,0.0,11.684855,categorical,bar
is_unique,is_unique_False,N/A,is_unique_False,1.0,11.786895,categorical,box
is_unique,is_unique_False,N/A,is_unique_False,0.400836,11.725757,categorical,histogram
is_unique,is_unique_False,N/A,is_unique_False,0.218351,11.707136,categorical,heatmap
has_outliers,hasoutliers_15iqr,N/A,hasoutliers_15iqr,1.0,11.711281,categorical,line
has_outliers,hasoutliers_15iqr,N/A,hasoutliers_15iqr,0.995847,11.711001,categorical,scatter
has_outliers,hasoutliers_15iqr,N/A,hasoutliers_15iqr,0.0,11.643946,categorical,bar
has_outliers,hasoutliers_15iqr,N/A,hasoutliers_15iqr,0.874894,11.702857,categorical,box
has_outliers,hasoutliers_15iqr,N/A,hasoutliers_15iqr,0.047512,11.647145,categorical,histogram
has_outliers,hasoutliers_15iqr,N/A,hasoutliers_15iqr,0.097259,11.650495,categorical,heatmap
has_outliers,hasoutliers_3iqr,N/A,hasoutliers_3iqr,1.0,11.706047,categorical,line
has_outliers,hasoutliers_3iqr,N/A,hasoutliers_3iqr,0.975252,11.704444,categorical,scatter
has_outliers,hasoutliers_3iqr,N/A,hasoutliers_3iqr,0.0,11.641296,categorical,bar
has_outliers,hasoutliers_3iqr,N/A,hasoutliers_3iqr,0.883187,11.698483,categorical,box
has_outliers,hasoutliers_3iqr,N/A,hasoutliers_3iqr,0.000994,11.641361,categorical,histogram
has_outliers,hasoutliers_3iqr,N/A,hasoutliers_3iqr,0.071144,11.645903,categorical,heatmap
has_outliers,hasoutliers_1_99,N/A,hasoutliers_1_99,0.997594,11.710831,categorical,line
has_outliers,hasoutliers_1_99,N/A,hasoutliers_1_99,1.0,11.710988,categorical,scatter
has_outliers,hasoutliers_1_99,N/A,hasoutliers_1_99,0.0,11.645393,categorical,bar
has_outliers,hasoutliers_1_99,N/A,hasoutliers_1_99,0.92672,11.706182,categorical,box
has_outliers,hasoutliers_1_99,N/A,hasoutliers_1_99,0.051724,11.648786,categorical,histogram
has_outliers,hasoutliers_1_99,N/A,hasoutliers_1_99,0.088482,11.651197,categorical,heatmap
has_outliers,hasoutliers_3std,N/A,hasoutliers_3std,0.648366,11.640124,categorical,line
has_outliers,hasoutliers_3std,N/A,hasoutliers_3std,0.55747,11.631514,categorical,scatter
has_outliers,hasoutliers_3std,N/A,hasoutliers_3std,0.0,11.57871,categorical,bar
has_outliers,hasoutliers_3std,N/A,hasoutliers_3std,0.940581,11.667802,categorical,box
has_outliers,hasoutliers_3std,N/A,hasoutliers_3std,1.0,11.67343,categorical,histogram
has_outliers,hasoutliers_3std,N/A,hasoutliers_3std,0.664037,11.641608,categorical,heatmap
is_normal,isnormal_5,N/A,isnormal_5,1.0,11.7008,categorical,line
is_normal,isnormal_5,N/A,isnormal_5,0.76805,11.675184,categorical,scatter
